customer_segment,customers,average_recency,average_frequency,average_monetary,total_revenue
At Risk,25594,305.93686020160976,1.0018363678987263,84.118246464015,2152922.4
Champions,430,60.15581395348837,2.4511627906976745,468.1282558139535,201295.15
Lost Customers,11307,424.8939594941187,1.0,50.607662509949584,572220.84
Loyal Customers,12270,90.44515077424613,1.1348818255908721,346.5492942135289,4252159.84
Potential Loyalists,43756,194.1023859584971,1.0181460828229272,188.4053281835634,8243863.54
